332	2126
301	131	1284
305	131	1339
306	131	1410
307	131	1421
310	131	1469
311	131	1494
152	132	243
174	132	212
230	132	643
255	132	858
140	133	62
144	133	821
152	133	802
166	133	481
172	133	201
182	133	373
219	133	1101
232	133	669
255	133	936
258	133	1113
261	133	806
293	133	1082
136	134	46
139	135	50
152	136	337
139	137	191
152	137	257
161	137	114
176	137	187
255	137	702
183	138	253
201	138	333
161	139	171
162	139	331
167	139	272
177	139	277
230	139	546
166	140	426
182	140	382
157	141	83
177	141	183
144	142	194
166	142	564
172	142	1083
198	142	983
216	142	1105
225	142	1062
229	142	895
233	142	724
261	142	1219
293	142	1469
147	143	55
152	143	364
162	143	140
170	143	148
174	143	239
221	143	552
230	143	666
299	143	1253
306	143	1394
310	143	1452
311	143	1479
150	144	1945
162	144	1873
166	144	374
168	144	280
169	144	416
172	144	890
176	144	1401
177	144	1767
181	144	416
182	144	1118
183	144	529
197	144	599
201	144	609
203	144	603
213	144	549
216	144	929
219	144	477
225	144	895
233	144	613
245	144	708
246	144	704
248	144	731
250	144	704
253	144	742
255	144	1560
258	144	702
261	144	1071
263	144	813
274	144	830
292	144	1512
293	144	1335
297	144	1276
299	144	1958
148	145	74
182	145	198
147	146	17
150	146	14
152	146	325
159	146	466
161	146	533
166	146	1583
167	146	641
168	146	1686
172	146	1071
174	146	209
176	146	574
177	146	253
179	146	244
182	146	862
189	146	654
202	146	358
212	146	390
217	146	790
218	146	543
221	146	531
230	146	642
232	146	987
237	146	704
255	146	868
260	146	815
261	146	1400
284	146	1060
292	146	1326
293	146	1503
299	146	1238
301	146	1300
305	146	1353
306	146	1383
307	146	1418
310	146	1441
311	146	1468
150	147	20
152	147	310
153	147	1684
159	147	450
161	147	517
162	147	95
166	147	1567
167	147	625
172	147	1055
174	147	193
176	147	558
177	147	237
179	147	229
182	147	845
201	147	2472
202	147	344
212	147	378
217	147	773
218	147	528
219	147	2134
221	147	517
230	147	627
232	147	970
248	147	2344
249	147	736
255	147	852
258	147	2049
260	147	802
261	147	1383
273	147	893
284	147	1047
292	147	1310
293	147	1487
298	147	1155
299	147	1226
300	147	1247
301	147	1288
305	147	1340
306	147	1372
307	147	1406
310	147	1430
311	147	1457
320	147	2151
321	147	2166
322	147	2187
324	147	2201
325	147	2247
158	148	94
166	148	779
182	148	186
152	149	244
157	149	80
221	149	487
230	149	590
255	149	811
152	150	328
159	150	468
162	150	104
166	150	1586
167	150	643
174	150	203
176	150	574
177	150	247
179	150	238
182	150	863
201	150	2491
202	150	349
212	150	379
219	150	2151
221	150	522
230	150	634
248	150	2360
255	150	860
258	150	2065
261	150	1396
263	150	2335
292	150	1318
296	150	1517
299	150	1227
301	150	1289
306	150	1371
310	150	1429
311	150	1456
320	150	2143
321	150	2158
322	150	2178
324	150	2193
325	150	2238
201	151	276
156	152	277
157	152	178
158	152	412
159	152	144
161	152	211
162	152	261
166	152	1258
167	152	318
170	152	305
172	152	747
174	152	221
176	152	265
177	152	204
179	152	225
182	152	542
183	152	2114
186	152	214
187	152	235
189	152	357
191	152	439
192	152	323
198	152	917
201	152	2163
202	152	321
210	152	373
212	152	400
215	152	400
217	152	531
218	152	420
219	152	1828
221	152	447
222	152	486
230	152	505
232	152	719
233	152	1441
248	152	2042
252	152	654
255	152	688
256	152	741
258	152	1754
261	152	1122
263	152	2023
284	152	958
288	152	1319
292	152	1126
293	152	1265
297	152	1400
299	152	1153
301	152	1202
305	152	1257
306	152	1319
307	152	1335
310	152	1378
311	152	1404
166	153	137
203	153	806
248	153	845
261	153	892
293	153	1171
164	154	62
171	154	128
182	154	180
171	155	94
177	157	125
221	157	426
230	157	521
255	157	738
161	158	207
171	158	74
182	158	162
161	159	68
162	159	390
166	159	1120
167	159	175
174	159	327
176	159	128
179	159	317
182	159	398
217	159	417
219	159	1685
230	159	468
248	159	1898
255	159	612
258	159	1610
261	159	990
293	159	1148
299	159	1108
301	159	1149
182	160	122
162	161	457
167	161	108
174	161	390
179	161	378
182	161	332
189	161	183
191	161	245
230	161	478
248	161	1832
255	161	598
261	161	936
299	161	1106
301	161	1143
166	162	1510
167	162	563
172	162	994
174	162	99
176	162	486
177	162	144
179	162	134
182	162	777
201	162	2410
202	162	250
212	162	289
217	162	684
218	162	433
219	162	2065
221	162	423
230	162	532
232	162	881
237	162	593
243	162	552
248	162	2270
249	162	641
252	162	621
255	162	757
258	162	1971
261	162	1295
273	162	800
284	162	954
288	162	1465
292	162	1215
293	162	1393
299	162	1136
301	162	1196
305	162	1249
306	162	1284
307	162	1317
310	162	1342
311	162	1369
321	162	2101
182	163	110
182	164	128
201	165	210
167	166	947
168	166	104
169	166	758
172	166	520
173	166	114
174	166	1438
175	166	195
176	166	1032
177	166	1399
181	166	94
182	166	746
183	166	857
184	166	158
197	166	905
198	166	431
201	166	914
203	166	898
206	166	634
213	166	808
216	166	572
217	166	991
219	166	631
225	166	560
230	166	1295
232	166	883
233	166	461
242	166	917
245	166	869
246	166	847
248	166	886
250	166	821
251	166	883
253	166	881
255	166	1195
258	166	706
261	166	770
263	166	919
274	166	794
276	166	766
288	166	977
292	166	1196
293	166	1055
296	166	1085
297	166	1032
299	166	1618
301	166	1603
311	166	1832
313	166	3226
172	167	431
174	167	493
176	167	105
179	167	478
182	167	227
189	167	150
191	167	172
201	167	1848
217	167	344
219	167	1510
230	167	509
232	167	484
248	167	1726
255	167	588
258	167	1441
261	167	851
292	167	951
293	167	1038
299	167	1108
301	167	1138
302	167	1143
307	167	1280
310	167	1341
311	167	1365
248	168	800
258	168	647
261	168	818
183	169	120
197	169	211
201	169	222
203	169	232
213	169	260
219	169	402
246	169	532
248	169	536
258	169	701
261	169	1319
263	169	659
174	172	919
176	172	513
179	172	901
182	172	228
198	172	209
201	172	1417
216	172	302
217	172	509
219	172	1085
225	172	401
230	172	802
232	172	472
248	172	1310
255	172	752
258	172	1044
261	172	623
263	172	1305
293	172	891
299	172	1243
248	173	774
261	173	786
176	174	407
177	174	46
182	174	698
201	174	2332
202	174	162
204	174	243
212	174	219
217	174	587
218	174	338
219	174	1982
221	174	333
230	174	436
248	174	2183
255	174	659
258	174	1882
261	174	1198
273	174	712
284	174	867
292	174	1117
293	174	1294
299	174	1053
301	174	1111
305	174	1164
306	174	1206
307	174	1234
310	174	1264
311	174	1291
321	174	2054
179	176	388
182	176	291
189	176	100
192	176	96
201	176	1925
202	176	402
212	176	478
217	176	297
218	176	371
219	176	1579
221	176	426
222	176	311
230	176	412
232	176	468
233	176	1182
239	176	564
248	176	1786
255	176	516
256	176	535
258	176	1493
261	176	862
263	176	1762
271	176	701
284	176	831
292	176	911
296	176	1048
299	176	1028
301	176	1064
305	176	1118
306	176	1204
307	176	1204
310	176	1261
311	176	1285
179	177	22
182	177	657
190	177	92
201	177	2290
202	177	137
204	177	200
212	177	206
218	177	300
230	177	398
240	177	627
248	177	2139
255	177	618
258	177	1837
260	177	592
261	177	1152
263	177	2108
273	177	678
292	177	1075
293	177	1250
299	177	1023
301	177	1079
310	177	1238
311	177	1264
321	177	2044
201	178	171
182	179	678
189	179	448
217	179	556
218	179	302
221	179	299
230	179	401
232	179	753
255	179	624
260	179	589
261	179	1167
292	179	1082
293	179	1260
299	179	1019
301	179	1077
306	179	1173
307	179	1201
310	179	1232
311	179	1259
182	180	95
182	181	730
188	181	50
219	181	593
258	181	634
261	181	687
189	182	241
191	182	159
192	182	301
195	182	118
196	182	133
198	182	375
201	182	1634
203	182	1613
206	182	211
207	182	151
209	182	261
211	182	181
212	182	743
216	182	373
217	182	313
219	182	1288
220	182	327
221	182	650
222	182	429
225	182	489
226	182	385
230	182	586
232	182	355
233	182	901
239	182	396
246	182	1458
248	182	1500
250	182	1413
253	182	1483
255	182	574
256	182	529
258	182	1214
261	182	655
263	182	1482
274	182	1225
284	182	904
292	182	837
293	182	876
296	182	905
297	182	973
299	182	1088
301	182	1105
305	182	1155
306	182	1266
307	182	1246
310	182	1319
311	182	1340
313	182	3823
321	182	2303
197	183	99
201	183	110
203	183	129
213	183	208
219	183	412
224	183	338
245	183	461
246	183	489
248	183	483
253	183	516
258	183	701
261	183	1369
263	183	613
293	183	1575
255	184	1237
261	184	738
293	184	1008
201	185	88
192	186	156
230	186	304
192	189	59
217	189	202
230	189	374
232	189	369
255	189	438
256	189	444
261	189	765
202	190	83
230	190	307
204	192	246
217	192	211
222	192	215
255	192	420
201	193	63
221	194	207
207	195	58
201	197	11
213	197	156
219	197	392
245	197	389
246	197	422
248	197	410
250	197	472
251	197	427
253	197	445
258	197	662
261	197	1363
263	197	541
206	198	210
216	198	159
219	198	915
232	198	453
258	198	845
261	198	455
201	199	72
213	199	103
213	200	93
203	201	33
205	201	99
213	201	157
214	201	103
217	201	1823
219	201	395
224	201	268
228	201	244
230	201	2122
232	201	1667
233	201	839
236	201	278
242	201	331
245	201	385
246	201	419
248	201	406
250	201	470
251	201	423
253	201	441
255	201	1969
258	201	662
261	201	1367
263	201	536
276	201	986
292	201	1790
293	201	1558
299	201	2268
311	201	2423
313	201	2389
316	201	2359
318	201	2421
204	202	136
212	202	82
217	202	495
221	202	173
230	202	287
255	202	517
261	202	1097
219	203	366
245	203	353
246	203	386
248	203	373
250	203	436
251	203	390
253	203	408
258	203	629
261	203	1338
263	203	504
288	203	1407
293	203	1527
311	203	2392
218	204	118
230	204	208
213	205	64
209	206	58
239	206	247
261	206	456
258	208	416
217	212	539
221	212	164
230	212	290
255	212	521
261	212	1128
245	213	255
246	213	282
248	213	279
253	213	311
261	213	1213
263	213	407
248	214	308
230	215	141
255	215	289
225	216	116
232	216	320
239	216	234
255	216	633
258	216	862
261	216	321
262	216	324
293	216	595
296	216	627
218	217	344
219	217	1450
221	217	403
222	217	140
230	217	305
232	217	197
239	217	312
240	217	142
248	217	1628
255	217	263
256	217	245
258	217	1315
261	217	611
263	217	1586
271	217	404
281	217	525
283	217	580
284	217	595
286	217	541
292	217	614
293	217	734
296	217	758
297	217	870
299	217	784
301	217	807
306	217	963
307	217	950
310	217	1017
311	217	1039
321	217	1991
221	218	62
230	218	99
235	218	118
249	218	215
255	218	327
261	218	923
299	218	735
230	219	1744
232	219	1286
233	219	446
245	219	243
246	219	230
248	219	263
250	219	227
253	219	268
255	219	1582
258	219	299
261	219	972
263	219	336
274	219	436
276	219	606
293	219	1165
297	219	1056
299	219	1873
301	219	1834
313	219	2595
226	220	64
261	220	331
230	221	127
237	221	197
243	221	159
249	221	219
252	221	210
255	221	357
260	221	291
261	221	972
273	221	379
284	221	535
298	221	650
299	221	722
300	221	749
301	221	779
305	221	832
306	221	880
307	221	905
310	221	940
311	221	966
321	221	1789
322	221	1818
325	221	1877
230	222	165
232	222	314
255	222	208
261	222	720
230	223	84
255	223	196
242	224	104
261	224	1148
232	225	389
255	225	691
258	225	757
261	225	241
262	225	246
293	225	530
296	225	562
261	226	271
230	227	170
236	228	33
233	229	251
254	229	148
261	229	325
262	229	335
274	229	555
232	230	460
234	230	217
235	230	108
237	230	71
238	230	174
239	230	576
240	230	301
243	230	179
248	230	1911
249	230	122
252	230	179
255	230	232
256	230	335
258	230	1591
259	230	184
260	230	226
261	230	849
263	230	1860
272	230	393
273	230	295
281	230	569
284	230	453
286	230	553
287	230	491
288	230	974
292	230	688
293	230	887
295	230	532
297	230	1044
298	230	577
299	230	648
300	230	680
301	230	697
305	230	751
306	230	816
307	230	830
310	230	875
311	230	901
321	230	1774
258	231	164
239	232	118
240	232	169
248	232	1451
255	232	313
256	232	218
258	232	1133
261	232	414
283	232	435
285	232	470
288	232	600
292	232	483
296	232	582
297	232	681
299	232	771
301	232	775
307	232	915
310	232	994
311	232	1013
248	233	609
254	233	277
255	233	1138
258	233	315
261	233	529
262	233	539
263	233	581
274	233	355
275	233	372
276	233	309
293	233	750
296	233	773
255	234	139
255	237	165
255	239	410
261	239	302
262	239	297
255	240	152
256	240	103
261	240	549
261	241	175
245	242	78
248	242	87
251	242	104
261	242	1170
248	244	48
246	245	41
248	245	25
253	245	56
258	245	331
261	245	1093
263	245	152
250	246	59
253	246	39
255	246	1689
258	246	290
261	246	1053
263	246	128
293	246	1198
313	246	2387
261	247	128
250	248	97
253	248	37
255	248	1730
258	248	329
261	248	1093
263	248	131
274	248	418
276	248	645
292	248	1482
293	248	1233
299	248	1961
301	248	1914
311	248	2091
313	248	2347
316	248	2303
318	248	2349
331	248	5326
255	249	171
259	249	70
260	249	113
258	250	232
261	250	996
263	250	109
274	250	327
258	251	314
261	251	1079
255	253	1703
258	253	299
261	253	1064
263	253	97
293	253	1200
261	254	255
262	254	265
276	254	292
288	254	384
256	255	118
258	255	1405
259	255	128
260	255	234
261	255	646
263	255	1670
265	255	111
266	255	403
267	255	493
271	255	315
272	255	163
273	255	219
276	255	1132
281	255	342
283	255	453
284	255	332
286	255	334
287	255	310
288	255	748
289	255	334
292	255	458
293	255	657
295	255	394
296	255	672
297	255	816
298	255	460
299	255	523
300	255	564
301	255	551
305	255	605
306	255	701
307	255	692
310	255	756
311	255	779
313	255	3924
321	255	1729
322	255	1767
261	256	528
267	256	377
271	256	208
272	256	122
292	256	385
296	256	574
299	256	563
261	257	164
261	258	765
263	258	271
264	258	151
274	258	137
276	258	327
288	258	788
293	258	911
296	258	926
297	258	784
299	258	1635
313	258	2609
273	259	125
273	260	95
284	260	245
263	261	1026
266	261	257
267	261	169
268	261	143
269	261	127
270	261	97
271	261	358
273	261	809
274	261	712
275	261	278
276	261	487
277	261	122
278	261	280
279	261	229
280	261	176
281	261	495
282	261	223
283	261	375
284	261	815
286	261	553
288	261	250
290	261	363
291	261	328
292	261	442
293	261	291
294	261	320
296	261	323
297	261	329
299	261	907
301	261	876
303	261	490
304	261	526
305	261	905
306	261	1047
307	261	987
308	261	638
309	261	645
310	261	1079
311	261	1090
313	261	3292
321	261	2098
275	262	286
276	262	495
288	262	248
292	262	433
293	262	285
296	262	316
297	262	327
276	263	557
293	263	1143
311	263	1993
313	263	2344
267	266	91
271	266	102
272	266	289
281	266	261
286	266	315
271	267	191
281	267	330
283	267	228
270	269	35
281	271	180
283	271	177
283	272	295
284	273	158
299	273	353
322	273	1556
325	273	1612
293	274	820
276	275	213
288	275	278
296	275	415
288	276	465
293	276	588
296	276	601
297	276	458
283	281	149
286	281	58
293	281	368
293	283	220
286	284	280
293	284	698
298	284	130
299	284	198
300	284	235
306	284	373
311	284	455
293	286	419
299	286	357
301	286	337
299	287	244
301	287	250
311	287	486
293	288	124
296	288	138
297	288	83
308	288	389
293	290	172
293	292	259
296	292	258
297	292	420
299	292	480
301	292	439
310	292	637
311	292	647
296	293	32
297	293	165
299	293	730
301	293	681
303	293	238
305	293	696
306	293	838
307	293	766
308	293	378
309	293	393
310	293	860
311	293	865
297	296	162
303	296	212
308	296	349
311	296	848
308	297	319
299	298	72
300	298	105
301	299	76
305	299	118
306	299	178
307	299	182
310	299	234
311	299	257
321	299	1232
322	299	1274
325	299	1326
301	300	97
307	300	160
305	301	55
306	301	175
307	301	142
310	301	219
311	301	237
321	301	1240
310	302	218
307	305	92
311	305	192
307	306	86
310	306	59
311	306	86
310	307	94
311	307	103
311	310	27
320	311	968
321	311	1011
322	311	1057
324	311	1021
325	311	1105
313	312	96
316	312	180
318	312	272
314	313	45
315	313	72
316	313	86
317	313	71
318	313	179
319	313	212
326	313	736
329	313	3011
331	313	3468
316	314	42
317	314	36
316	315	13
317	315	22
317	316	28
318	316	113
319	316	133
319	318	51
324	320	54
322	321	54
323	321	61
324	321	50
325	321	94
325	322	61
328	327	93
329	327	163
330	327	935
0	327	13
329	328	70
330	329	784
